Description,Date,ScanNo,DM4 Path,H5 Path,Streaming,DM4 DateTime,HDF5 DateTime,Duration (s)
Aviram Streaming 1,2023.10.11,5257,/global/cfs/cdirs/ncemhub/still/dm4/2023.11.02/scan5257.dm4,/global/cfs/cdirs/ncemhub/still/counted/2023.11.02/FOURD_231102_0758_04498_05257.h5,False,2023-11-02T14:56:24.547308+00:00,2023-11-02T14:58:33.944520+00:00,129.397212
Aviram Streaming 1,2023.10.11,5258,/global/cfs/cdirs/ncemhub/still/dm4/2023.11.02/scan5258.dm4,/global/cfs/cdirs/ncemhub/still/counted/2023.11.02/FOURD_231102_0828_04499_05258.h5,False,2023-11-02T15:26:38.191330+00:00,2023-11-02T15:28:49.380747+00:00,131.189417
Aviram Streaming 1,2023.10.11,5259,/global/cfs/cdirs/ncemhub/still/dm4/2023.11.02/scan5259.dm4,/global/cfs/cdirs/ncemhub/still/counted/2023.11.02/FOURD_231102_0835_04500_05259.h5,False,2023-11-02T15:33:28.550032+00:00,2023-11-02T15:35:42.127853+00:00,133.577821
Aviram Streaming 1,2023.10.11,5260,/global/cfs/cdirs/ncemhub/still/dm4/2023.11.02/scan5260.dm4,/global/cfs/cdirs/ncemhub/still/counted/2023.11.02/FOURD_231102_0837_04501_05260.h5,False,2023-11-02T15:36:01.095397+00:00,2023-11-02T15:40:07.944703+00:00,246.849306
Aviram Streaming 1,2023.10.11,5261,/global/cfs/cdirs/ncemhub/still/dm4/2023.11.02/scan5261.dm4,/global/cfs/cdirs/ncemhub/still/counted/2023.11.02/FOURD_231102_0840_04502_05261.h5,False,2023-11-02T15:39:53.759568+00:00,2023-11-02T15:41:04.336643+00:00,70.577075
Aviram Streaming 1,2023.10.11,5262,/global/cfs/cdirs/ncemhub/still/dm4/2023.11.02/scan5262.dm4,/global/cfs/cdirs/ncemhub/still/counted/2023.11.02/FOURD_231102_0908_04503_05262.h5,False,2023-11-02T16:06:57.980563+00:00,2023-11-02T16:09:13.155266+00:00,135.174703
Aviram Streaming 1,2023.10.11,5263,/global/cfs/cdirs/ncemhub/still/dm4/2023.11.02/scan5263.dm4,/global/cfs/cdirs/ncemhub/still/counted/2023.11.02/FOURD_231102_0914_04504_05263.h5,False,2023-11-02T16:12:50.037595+00:00,2023-11-02T16:14:57.909157+00:00,127.871562
Aviram Streaming 1,2023.10.11,5264,/global/cfs/cdirs/ncemhub/still/dm4/2023.11.02/scan5264.dm4,/global/cfs/cdirs/ncemhub/still/counted/2023.11.02/FOURD_231102_0918_04505_05264.h5,False,2023-11-02T16:16:18.476199+00:00,2023-11-02T16:18:36.060523+00:00,137.584324
Aviram Streaming 1,2023.10.11,5265,/global/cfs/cdirs/ncemhub/still/dm4/2023.11.02/scan5265.dm4,/global/cfs/cdirs/ncemhub/still/counted/2023.11.02/FOURD_231102_0922_04506_05265.h5,False,2023-11-02T16:20:44.666892+00:00,2023-11-02T16:23:04.186886+00:00,139.519994
Aviram Streaming 1,2023.10.11,5266,/global/cfs/cdirs/ncemhub/still/dm4/2023.11.02/scan5266.dm4,/global/cfs/cdirs/ncemhub/still/counted/2023.11.02/FOURD_231102_0926_04507_05266.h5,False,2023-11-02T16:24:24.855244+00:00,2023-11-02T16:26:33.584286+00:00,128.729042
Aviram Streaming 1,2023.10.11,5267,/global/cfs/cdirs/ncemhub/still/dm4/2023.11.02/scan5267.dm4,/global/cfs/cdirs/ncemhub/still/counted/2023.11.02/FOURD_231102_0930_00000_05267.h5,False,2023-11-02T16:29:03.092689+00:00,2023-11-02T16:31:14.826292+00:00,131.733603
Aviram Streaming 1,2023.10.11,5268,/global/cfs/cdirs/ncemhub/still/dm4/2023.11.02/scan5268.dm4,/global/cfs/cdirs/ncemhub/still/counted/2023.11.02/FOURD_231102_0938_04509_05268.h5,False,2023-11-02T16:36:14.983966+00:00,2023-11-02T16:38:28.854822+00:00,133.870856
Aviram Streaming 1,2023.10.11,5269,/global/cfs/cdirs/ncemhub/still/dm4/2023.11.02/scan5269.dm4,/global/cfs/cdirs/ncemhub/still/counted/2023.11.02/FOURD_231102_0943_04510_05269.h5,False,2023-11-02T16:41:26.975901+00:00,2023-11-02T16:43:48.347129+00:00,141.371228
Aviram Streaming 1,2023.10.11,5270,/global/cfs/cdirs/ncemhub/still/dm4/2023.11.02/scan5270.dm4,/global/cfs/cdirs/ncemhub/still/counted/2023.11.02/FOURD_231102_0947_04511_05270.h5,False,2023-11-02T16:45:45.937258+00:00,2023-11-02T16:48:08.415959+00:00,142.478701
Aviram Streaming 1,2023.10.11,5271,/global/cfs/cdirs/ncemhub/still/dm4/2023.11.02/scan5271.dm4,/global/cfs/cdirs/ncemhub/still/counted/2023.11.02/FOURD_231102_0958_04512_05271.h5,False,2023-11-02T16:56:09.092142+00:00,2023-11-02T16:58:27.618639+00:00,138.526497
Aviram Streaming 1,2023.10.11,5272,/global/cfs/cdirs/ncemhub/still/dm4/2023.11.02/scan5272.dm4,/global/cfs/cdirs/ncemhub/still/counted/2023.11.02/FOURD_231102_1001_04513_05272.h5,False,2023-11-02T16:59:12.854854+00:00,2023-11-02T17:01:29.117471+00:00,136.262617
Aviram Streaming 1,2023.10.11,5275,/global/cfs/cdirs/ncemhub/still/dm4/2023.11.02/scan5275.dm4,/global/cfs/cdirs/ncemhub/still/counted/2023.11.02/FOURD_231102_1027_04516_05275.h5,False,2023-11-02T17:25:47.508015+00:00,2023-11-02T17:28:04.347890+00:00,136.839875
Aviram Streaming 1,2023.10.11,5276,/global/cfs/cdirs/ncemhub/still/dm4/2023.11.02/scan5276.dm4,/global/cfs/cdirs/ncemhub/still/counted/2023.11.02/FOURD_231102_1030_04517_05276.h5,False,2023-11-02T17:28:52.947839+00:00,2023-11-02T17:30:56.098544+00:00,123.150705
Aviram Streaming 1,2023.10.11,5277,/global/cfs/cdirs/ncemhub/still/dm4/2023.11.02/scan5277.dm4,/global/cfs/cdirs/ncemhub/still/counted/2023.11.02/FOURD_231102_1035_04518_05277.h5,False,2023-11-02T17:33:35.692562+00:00,2023-11-02T17:35:42.732466+00:00,127.039904
